Command;09HA01;09HA02;A01 sample;A02 sample
A1_ON ;20;36;546642440;919844896
A1_OFF;28;3E;680860168;1054062624
A2_ON ;10;E;278206984;248756256
A2_OFF;18;1;412424712;30652448
A3_ON ;30;26;815077896;651409440
A3_OFF;38;2E;949295624;785627168
A4_ON ;8;16;143989256;382973984
A4_OFF;4;1E;76880392;517191712
B1_ON ;2C;39;747969032;970176544
B1_OFF;22;35;580196872;903067680
B2_ON ;1C;5;479533576;97761312
B2_OFF;12;D;311761416;231979040
B3_ON ;3C;29;1016404488;701741088
B3_OFF;32;25;848632328;634632224
B4_ON ;2;19;43325960;433305632
B4_OFF;A;15;177543688;366196768
C1_ON ;26;30;647305736;819181600
C1_OFF;2E;38;781523464;953399328
C2_ON ;16;8;378870280;148092960
C2_OFF;1E;4;513088008;80984096
C3_ON ;36;20;915741192;550746144
C3_OFF;3E;28;1049958920;684963872
C4_ON ;E;10;244652552;282310688
C4_OFF;1;18;26548744;416528416
D1_ON ;29;3C;697637384;1020508192
D1_OFF;25;32;630528520;852736032
D2_ON ;19;2;429201928;47429664
D2_OFF;15;A;362093064;181647392
D3_ON ;39;2C;966072840;752072736
D3_OFF;35;22;898963976;584300576
D4_ON ;5;1C;93657608;483637280
D4_OFF;D;12;227875336;315865120
GROUP_ON;13;13;328538632;332642336
GROUP_OFF;23;23;596974088;601077792
